number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
2316	Jo-Ann	20	Massalia	2.4516	nan	0.1491	nan	0.0268	nan	0.15	nan	12.96	nan	nan	nan	13.02	0.052	0.07676	0.000304	0.063	0.0073
2332	Kalm	nan	None	3.0718	nan	0.0621	nan	0.2365	nan	0.15	nan	11.12	nan	nan	nan	32.62	0.081	0.03058	0.000076	0.099	0.0045
2336	Xinjiang	24	Themis	3.1905	nan	0.1699	nan	0.0283	nan	0.15	nan	12.04	nan	nan	nan	22.35	0.067	0.04469	0.000134	0.072	0.0080
2361	Gogol	24	Themis	3.1434	nan	0.1541	nan	0.0239	nan	0.15	nan	12.15	nan	nan	nan	22.22	0.204	0.04498	0.000412	0.057	0.0072
2379	Heiskanen	nan	None	3.1865	nan	0.2392	nan	0.0194	nan	0.15	nan	11.06	nan	nan	nan	32.23	0.365	0.03070	0.000348	0.102	0.0034
2382	Nonie	2	Pallas	2.7595	nan	0.2747	nan	0.5445	nan	0.15	nan	11.89	nan	nan	nan	17.37	0.245	0.05739	0.000810	0.081	0.0133
2388	Gase	nan	None	2.4509	nan	0.2068	nan	0.0545	nan	0.15	nan	13.15	nan	nan	nan	8.22	0.993	0.10996	0.013245	0.110	0.0343
2391	Tomita	nan	None	2.4402	nan	0.1432	nan	0.0519	nan	0.15	nan	12.59	nan	nan	nan	18.13	0.092	0.05473	0.000279	0.053	0.0028
2393	Suzuki	nan	None	3.2071	nan	0.1822	nan	0.1984	nan	0.15	nan	10.74	nan	nan	nan	53.05	0.289	0.01851	0.000101	0.040	0.0022
2394	Nadeev	nan	None	3.1849	nan	0.1879	nan	0.0145	nan	0.15	nan	12.00	nan	nan	nan	23.83	0.152	0.04152	0.000264	0.069	0.0039
2417	McVittie	nan	None	3.1990	nan	0.2130	nan	0.0330	nan	0.15	nan	12.29	nan	nan	nan	18.42	0.120	0.05426	0.000353	0.101	0.0189
2418	Voskovec-Werich	24	Themis	3.1174	nan	0.1507	nan	0.0256	nan	0.15	nan	12.86	nan	nan	nan	12.13	3.590	0.08244	0.024399	0.109	0.1100
2436	Hatshepsut	10	Hygiea	3.1698	nan	0.1394	nan	0.0902	nan	0.15	nan	12.38	nan	nan	nan	18.81	0.273	0.05315	0.000771	0.066	0.0061
2450	Ioannisiani	24	Themis	3.1153	nan	0.1455	nan	0.0254	nan	0.15	nan	11.80	nan	nan	nan	21.82	0.249	0.04576	0.000521	0.110	0.0121
2487	Juhani	44	Nysa	2.3978	nan	0.1532	nan	0.0556	nan	0.15	nan	13.20	nan	nan	nan	16.14	0.279	0.06079	0.001050	0.045	0.0056
2503	Liaoning	nan	None	2.1919	nan	0.1904	nan	0.1156	nan	0.15	nan	14.49	nan	nan	nan	6.67	0.125	0.14945	0.002805	0.077	0.0109
2505	Hebei	24	Themis	3.1514	nan	0.1772	nan	0.0247	nan	0.15	nan	11.71	nan	nan	nan	22.46	0.183	0.04446	0.000362	0.081	0.0077
2533	Fechtig	24	Themis	3.0969	nan	0.1517	nan	0.0372	nan	0.15	nan	11.94	nan	nan	nan	21.18	0.100	0.04715	0.000222	0.087	0.0142
2561	Margolin	44	Nysa	2.4325	nan	0.1422	nan	0.0441	nan	0.15	nan	13.65	nan	nan	nan	11.52	0.066	0.08676	0.000499	0.056	0.0016
2585	Irpedina	nan	None	2.4259	nan	0.2022	nan	0.0947	nan	0.15	nan	12.25	nan	nan	nan	6.12	0.309	0.16296	0.008219	0.683	0.0701
