number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
15968	Waltercugno	24	Themis	3.2218	nan	0.1436	nan	0.0253	nan	0.15	nan	13.39	nan	nan	nan	10.21	0.112	0.09794	0.001074	0.081	0.0089
15979	1998QW34	nan	None	2.7724	nan	0.1687	nan	0.2576	nan	0.15	nan	13.26	nan	nan	nan	11.23	0.288	0.08858	0.002274	0.089	0.0150
16029	1999DQ6	nan	None	3.1473	nan	0.2096	nan	0.2472	nan	0.15	nan	12.24	nan	nan	nan	20.51	0.067	0.04875	0.000160	0.067	0.0016
16057	1999JO75	145	Adeona	2.6777	nan	0.1677	nan	0.2019	nan	0.15	nan	13.22	nan	nan	nan	13.42	0.547	0.07392	0.003009	0.065	0.0103
16063	1999NV36	nan	None	2.2399	nan	0.1758	nan	0.0498	nan	0.15	nan	15.72	nan	nan	nan	3.33	0.630	0.29278	0.055384	0.087	0.0362
16159	2000AK62	nan	None	3.1405	nan	0.0887	nan	0.2243	nan	0.15	nan	13.09	nan	nan	nan	15.08	0.097	0.06629	0.000428	0.057	0.0116
16235	2000FF46	668	Dora	2.7816	nan	0.1950	nan	0.1377	nan	0.15	nan	13.54	nan	nan	nan	12.22	0.230	0.08070	0.001516	0.056	0.0061
16272	2000JS55	137	Meliboea	3.1156	nan	0.2033	nan	0.2645	nan	0.15	nan	12.55	nan	nan	nan	16.09	0.124	0.06206	0.000480	0.073	0.0078
16285	3047P-L	3438	Inarradas	3.0486	nan	0.1811	nan	0.2536	nan	0.15	nan	13.20	nan	nan	nan	12.70	0.199	0.07750	0.001216	0.080	0.0082
16359	1978VO4	44	Nysa	2.4107	nan	0.1438	nan	0.0463	nan	0.15	nan	14.60	nan	nan	nan	7.50	0.049	0.13231	0.000858	0.033	0.0026
16408	1986AB	nan	None	2.7370	nan	0.1552	nan	0.2550	nan	0.15	nan	12.81	nan	nan	nan	14.22	0.140	0.07013	0.000690	0.072	0.0085
16445	Klimt	nan	None	3.1831	nan	0.2111	nan	0.2155	nan	0.15	nan	13.02	nan	nan	nan	18.78	1.760	0.05229	0.004895	0.031	0.0137
16516	Efremlevitan	44	Nysa	2.2877	nan	0.1413	nan	0.0455	nan	0.15	nan	14.89	nan	nan	nan	6.18	0.217	0.15819	0.005538	0.083	0.0124
16583	Oersted	702	Alauda	3.2297	nan	0.0470	nan	0.3731	nan	0.15	nan	12.33	nan	nan	nan	22.09	0.223	0.04525	0.000456	0.045	0.0072
16599	Shorland	nan	None	2.8659	nan	0.2180	nan	0.0874	nan	0.15	nan	13.91	nan	nan	nan	10.27	0.210	0.09736	0.001987	0.054	0.0097
16664	1993VO4	163	Erigone	2.3764	nan	0.1990	nan	0.0857	nan	0.15	nan	14.88	nan	nan	nan	7.36	0.155	0.13579	0.002858	0.041	0.0060
16882	1998BO13	nan	None	3.2742	nan	0.2388	nan	0.0220	nan	0.15	nan	13.54	nan	nan	nan	9.83	0.226	0.10176	0.002340	0.061	0.0099
16897	1998DH10	283	Emma	3.0487	nan	0.1137	nan	0.1581	nan	0.15	nan	13.34	nan	nan	nan	14.34	0.342	0.06941	0.001657	0.042	0.0052
16905	1998DT21	nan	None	3.0383	nan	0.1826	nan	0.0253	nan	0.15	nan	13.84	nan	nan	nan	9.69	0.206	0.10307	0.002192	0.055	0.0099
16913	1998EK9	nan	None	2.3855	nan	0.1233	nan	0.4452	nan	0.15	nan	13.37	nan	nan	nan	11.66	0.041	0.08548	0.000300	0.069	0.0014
16968	1998TT5	nan	None	3.1740	nan	0.2263	nan	0.2040	nan	0.15	nan	12.92	nan	nan	nan	14.86	0.971	0.06712	0.004387	0.057	0.0171
17074	1999GQ36	nan	None	2.5764	nan	0.1756	nan	0.2715	nan	0.15	nan	14.02	nan	nan	nan	nan	nan	nan	nan	nan	nan
17126	1999JH68	128	Nemesis	2.7592	nan	0.0973	nan	0.0872	nan	0.15	nan	13.75	nan	nan	nan	7.44	0.739	0.12228	0.012222	0.088	0.0201
17183	1999VO2	nan	None	2.6750	nan	0.1684	nan	0.4794	nan	0.15	nan	13.69	nan	nan	nan	9.99	0.135	0.10005	0.001354	0.061	0.0100
17256	2000HZ22	nan	None	2.7578	nan	0.2523	nan	0.1252	nan	0.15	nan	13.89	nan	nan	nan	9.68	0.256	0.10305	0.002721	0.080	0.0115
17266	2000KT6	668	Dora	2.7939	nan	0.1966	nan	0.1374	nan	0.15	nan	13.49	nan	nan	nan	12.21	0.149	0.08130	0.000993	0.035	0.0041
17354	Matrosov	nan	None	2.6206	nan	0.1503	nan	0.0314	nan	0.15	nan	14.12	nan	nan	nan	8.67	1.187	0.11502	0.015738	0.051	0.0252
17361	1978UF7	137	Meliboea	3.1094	nan	0.2032	nan	0.2636	nan	0.15	nan	14.09	nan	nan	nan	8.59	0.201	0.11601	0.002719	0.064	0.0087
17567	Hoshinoyakata	668	Dora	2.7842	nan	0.1961	nan	0.1368	nan	0.15	nan	12.85	nan	nan	nan	12.27	0.866	0.07064	0.005003	0.057	0.0124
17626	1996AG2	nan	None	3.1667	nan	0.0635	nan	0.2405	nan	0.15	nan	12.41	nan	nan	nan	18.06	0.356	0.05534	0.001092	0.084	0.0096
17688	1997BM3	668	Dora	2.7783	nan	0.1938	nan	0.1363	nan	0.15	nan	13.88	nan	nan	nan	9.23	0.974	0.10676	0.011265	0.058	0.0181
